trip_id,user_id,sex,age,date,station_code_origin,station_code_destination,duration_m
32244687,1157043,F,28,2024-01,ZPN-017,ZPN-028,15
32244686,2721513,M,28,2024-01,ZPN-017,ZPN-028,15
32244685,1627144,F,27,2024-01,GDL-048,GDL-198,24
32244683,152460,M,28,2024-01,GDL-173,GDL-195,21
32244682,2230446,M,18,2024-01,(GDL-235),GDL-234,5
32244681,361037,M,31,2024-01,GDL-105,GDL-053,5
32244680,1617437,M,28,2024-01,GDL-032,GDL-248,11
32244679,1344657,F,28,2024-01,GDL-050,GDL-073,4
32244678,1061504,F,30,2024-01,GDL-090,GDL-021,13
32244677,710537,M,28,2024-01,GDL-045,ZPN-031,20
32244676,2061217,M,38,2024-01,ZPN-008,ZPN-022,8
32244675,370373,M,34,2024-01,GDL-013,GDL-027,14
32244674,44633,M,38,2024-01,ZPN-070,ZPN-069,19
32244670,1067625,M,32,2024-01,GDL-054,GDL-048,11
32244669,1444424,M,40,2024-01,GDL-017,GDL-129,6
32244668,2340272,M,31,2024-01,GDL-069,GDL-049,5
32244667,1766341,M,37,2024-01,GDL-063,GDL-048,5
32244666,2644307,M,23,2024-01,GDL-003,GDL-206,5
32244665,2256117,M,25,2024-01,GDL-052,GDL-002,10
32244664,777334,F,42,2024-01,GDL-092,GDL-086,28
32244663,1353435,F,27,2024-01,GDL-083,GDL-048,5
32244662,1627144,F,27,2024-01,GDL-063,GDL-048,6
32244659,2733613,M,22,2024-01,GDL-184,GDL-164,20
32244658,526165,M,32,2024-01,GDL-073,GDL-060,3
32244657,2234122,M,26,2024-01,GDL-036,GDL-094,12
32244656,2255504,F,30,2024-01,GDL-093,GDL-009,19
32244655,2632567,M,27,2024-01,GDL-103,GDL-090,8
32244654,2264034,M,29,2024-01,TLQ-003,TLQ-003,4
32244653,322162,M,52,2024-01,GDL-203,GDL-230,2
32244652,2217006,M,34,2024-01,GDL-217,GDL-042,10
32244651,1302130,M,54,2024-01,GDL-109,GDL-101,15
32244650,2656464,M,25,2024-01,GDL-127,GDL-058,23
32244649,1057353,M,21,2024-01,GDL-113,GDL-015,7
32244648,142522,M,39,2024-01,GDL-098,GDL-243,8
32244647,1514001,F,33,2024-01,GDL-071,GDL-070,2
32244646,2354537,F,39,2024-01,GDL-049,GDL-063,6
32244645,2230446,M,18,2024-01,GDL-234,(GDL-235),2
32244644,1507340,F,23,2024-01,GDL-009,GDL-010,6
32244643,455345,M,39,2024-01,GDL-034,GDL-039,8
32244642,727663,M,36,2024-01,ZPN-008,ZPN-021,8
32244641,457462,M,26,2024-01,GDL-162,GDL-160,4
32244640,340043,F,29,2024-01,GDL-048,GDL-028,7
32244639,566134,M,33,2024-01,GDL-074,GDL-208,7
32244638,205106,M,52,2024-01,GDL-162,GDL-162,11
32244637,445500,M,29,2024-01,ZPN-021,ZPN-017,13
32244636,1463036,M,24,2024-01,GDL-063,GDL-106,13
32244635,1705115,M,26,2024-01,GDL-190,GDL-163,11
32244634,13351,M,49,2024-01,GDL-030,GDL-070,3
32244633,632203,M,39,2024-01,GDL-159,GDL-198,16
32244632,2702240,M,22,2024-01,GDL-048,GDL-220,20
32244631,250223,M,43,2024-01,GDL-060,GDL-060,9
32244630,2236347,M,30,2024-01,GDL-204,GDL-210,7
32244628,1164133,F,22,2024-01,GDL-048,GDL-220,21
32244627,777334,F,42,2024-01,GDL-050,GDL-092,10
32244626,1012413,M,30,2024-01,GDL-214,GDL-090,18
32244625,37722,M,30,2024-01,GDL-152,GDL-033,39
32244624,742464,F,43,2024-01,GDL-019,GDL-077,5
32244623,2674460,M,23,2024-01,GDL-030,GDL-061,5
32244621,2563575,M,25,2024-01,GDL-176,GDL-049,12
32244620,2437710,F,28,2024-01,GDL-039,GDL-036,5
